title,phone,street,city,province,postalCode
420 Central,(714) 540-4420,420 W Central Ave,Santa Ana,CA,92707
502 Hemp Wellness Center (La Grange),502-265-7043,"1407 E. Crystal Dr., Suite I",La Grange,KY,40031
502 Hemp Wellness Center (Louisville),502-654-7100,"201 Moser Rd., Suite B",Louisville,KY,40223
530 Collective,530-275-0420,1550 Locust Avenue,Shasta Lake,CA,96019
7 Stars Holistic Healing Center,(510) 527-7827,"3288 Pierce St., Suite M108",Richmond,CA,94804
A Therapeutic Alternative,916-822-4717,3015 H Street,Sacramento,CA,95816
Abatin,(916) 822-5699,2100 29th Street,Sacramento,CA,95817
Airfield Supply Co.,(408) 320-0230,1190 Coleman Ave,San Jose,CA,95110
AJ’s Coastal Bliss District,843.284.3551,1350 Highway 501Business Ste. 8,Conway,SC,29526
AJ’s Coastal Bliss District,(716) 662-1795,3911 N Buffalo Street,Orchard Park,NY,14127
Alchemist's Kitchen,(212) 925-1267,21 E. 1st St.,New York,NY,10003
All About Wellness,(916) 454-4327,1900 19th Street,Sacramento,CA,95811
Alpine Alternative,(916) 739-6337,8112 Alpine Ave.,Sacramento,CA,95826
Apothekare,(858) 496-7620,3455 Camino del Rio South,San Diego,CA,92108
BASA (Bay Area Safe Alternative),(415) 409-1002,1326 Grove Street,San Francisco,CA,94117
Better Health Group,707-643-3767,3611 Sonoma Boulevard,Vallejo,CA,94590
Blue Lotus Wellness and CBD Boutique,407-235-0653,368 Moore Road,Ocoee,FL,34761
BPG (Berkeley Patients Group),510-540-6013,2366 San Pablo Ave.,Berkeley,CA,94702
Buds & Roses,818-907-8852,13047 Ventura Boulevard,Studio City,CA,91604
Buds and Blooms,(714) 576-2150,1327 E St Gertrude,Irvine,CA,92612
Buzzards Bay Botanicals,774-302-4679,45 Main Street,Buzzards Bay,MA,02532
C.R.A.F.T.,(855) 563-2738,(Delivery only),Berkeley,CA,94704
California Caregivers Alliance,213.353.0100,"2815 W SUNSET BLVD, STE 201",Los Angeles,CA,90026
Caliva,(408) 297-2615,1695 South 7th Street,San Jose,CA,95112
Cann-Help Wellness,(405) 455-3012,"2150 S. Douglas Blvd., Suite A",Midwest City,OK,73130
CannaCruz,831-420-3227,115 Limekiln Street,Santa Cruz,CA,95065
Captain Jack's,909-912-0314,2085 W Foothill Blvd,Upland,CA,91786
CBCB,(510) 849-4201,3033 Shattuck Ave,Berkeley,CA,94705
CBD Dispensary Shop,(609) 488-0555,913 N Main St.,Pleasantville,NJ,08232
CBD Dispensary Shop,609 488-0555,137 Catherine Lane,Manahawkin,NJ,08050
CBD Dispensary Shop (at Metta Yoga),609 488-0555,504 Waverly Ave,Neptune,NJ,07720
CBD Hemp Oil KY,(502) 915-8995,8129 New Lagrange Rd,Louisville,KY,40222
CBD Remedies,,2525 Pine lake Rd,Lincoln,NE,68512
CBD Wellness,(520) 429-9618,5390 W Ina,Tucson,AZ,85743
CBDPure,(800) 240-9884,500 E Broadway BlvdSuite #480,Vancouver,WA,98660
Central Coast Wellness,(831) 704-7340,7932 Hwy 9,Ben Lomond,CA,95005
Champlain Valley Dispensary,,1 Steele St,Burlington,VT,05401
Clara Jane Hemp Dispensary,(615) 502-3952,1132 4th Ave South,Nashville,TN,37210
Clover Gift Shop,(802) 457-2527,10 Elm Street,Woodstock,VT,05091
Colorado Hemp Solutions,(970)434-4143,3026 Hwy 50,Grand Junction,CO,81503
Colorado Hemp Solutions,(970)434-4143,3026 Hwy 50,Grand Junction,CO,81503
Compassionate Heart,818-404-2351,190 Kuki Lane,Ukiah,CA,95482
Cornerstone Wellness,323-259-8933,2551 Colorado Boulevard,Los Angeles,CA,90041
Cotten's Care CBD,(979)567-3664,203 Hwy 21 West,Caldwell,TX,77836
DC Collective,(818) 887-0980,8053 Deering Ave,Canoga Park,CA,91304
Dragonfly Wellness Center,707-962-0890,17975 North Highway 1,Fort Bragg,CA,95437
Dutchman's Flat,(415) 872-6867,2544 3rd Street,San Francisco,CA,94107
Elevate Shasta Wellness,,401 Berry st,Sebastopol,CA,95472
From The Earth,(657) 444-7336,3023 S. Orange Ave,Santa Ana,CA,92707
Get Me Some Green,980-292-1402,3519 Matthews-Mint Hill Rd.,Matthews,NC,28105
Global Healing Center,(800) 476-0016,2040 North Loop WestSte. 234,Houston,TX,77018
Green Cross Pharma,(844) 420-9420,68730 Summit Drive,Cathedral City,CA,92234
Green Cross Remedies,951-382-0034,(Delivery only),Riverside,CA,92506
Green Earth Collective,323-349-0949,4801 York Blvd,Los Angeles,CA,90042
GRO,707-631-4096,(Delivery only),Fairfield,CA,94534
Gruene Cross Health and Wellness,(210) 202-1925,18817 FM 2252,Bracken,TX,78266
Gruene Cross Health and Wellness,(210) 202-1925,382 S. I-35,New Braunfels,TX,78130
Gruene Cross Health and Wellness,(210) 202-1925,21511 N. I-35,Kyle,TX,78640
Gruene Cross Health and Wellness,(210) 202-1925,14500 Ranch Rd 12,Wimberley,TX,78676
GVC Green Valley Collective,(818) 322-2177,10835 W Magnolia Blvd,North Hollywood,CA,91601
Happy Leaf,971-800-0420,1301 NE Broadway Street,Portland,OR,97232
Happy Leaf,,2131 Westwood Blvd.,Los Angeles,CA,90025
Harbor Collective,619 841-2045,2405 E Harbor Drive,San Diego,CA,92113
Harbor Hemp Company,(860) 742.2652,733 Bread and Milk Street,Coventry,CT,06238
Hashtag Cannabis,206-946-8157,3540 Stone Way N,Seattle,WA,98103
Hemp Circle,305-501-0778,19501 Biscayne Boulevard,Aventura,FL,33180
Hemp House,(423) 771-4367,"6016 Ringgold Road, Suite 104",Chattanooga,TN,37412
Hemp House,(423) 531-4367,"512 Tremont St., Ste. C",Chattanooga,TN,37405
Hemp House,(423) 771-4223,"9203 Lee Hwy., Ste. 10",Ooltewah,TN,37363
HempLily,(704) 448-5999,20124 W Catawba AveSuite C,Cornelius,NC,28031
Herbal Cruz,(831) 462-9999,1001 41st Avenue,Santa Cruz,CA,95062
Kannabis Works,(949) 662-3960,2106 S. Susan St,Santa Ana,CA,92704
Kannavis Trading Company,301-810-2970,8709 Fingerboard Rd,Frederick,MD,21704
LabNaturals CBD,(412) 421-4996,4227A Murray Ave.,Pittsburgh,PA,15217
Leave it to Nature,530-691-7199,5340 Shasta Dam Blvd,Shasta Lake,CA,96019
Live Well CBD and Holistics,(407) 235-0653,7901 4th St NSuite 300,St. Petersburg,FL,33702
Lost Coast Botanicals,,(Delivery only),Redway,CA,95560
MedMen WeHo,(323) 848-7981,8208 Santa Monica Blvd,Los Angeles,CA,90046
Mercy Wellness of Cotati,(707) 795-1600,"7950 Redwood Drive, Suite 8",Cotati,CA,94931
Mitchell's Medicinals,(267) 553-3994,2347 Sugar Bottom Rd,Furlong,PA,18925
Mitchell's Medicinals,(856) 354-8811,208 Kresson Rd.,Cherry Hill,NJ,08232
Mother Earth Natural Health,(586) 315-9000,59057 Gratiot Ave.,New Haven,MI,48048
Mother Earth Natural Health,(586) 799-4976,47403 Van Dyke Ave.,Shelby Township,MI,48317
Mother Earth Natural Health,(248) 206-7476,32206 Woodward Ave.,Royal Oak,MI,48073
Natura Essentia,,3301 NE 1st Ave.Suite C114,Miami,FL,33137
Natural Life CBD Kratom Kava,850-765-3340,1730 Thomasville Rd,Tallahassee,FL,32303
Natural Life CBD Kratom Kava,904-367-2138,3503 Kernan Blvd S Unit 7,Jacksonville,FL,32224
Natural Life CBD Kratom Kava,850-900-5182,2101-3 W Pensacola St.,Tallahassee,FL,32304
Nature's Healthy Harvest,(321) 610-3989,2330 N. Wickham Rd.  ste14,Melbourne,FL,32935
New Amsterdam Naturals,310-202-6622,9021 Exposition Blvd,Los Angeles,CA,90034
Next Level Wellness,607-385-3188,10 Seneca St,Hornell,NY,14843
Nice Guys Delivery,415-855-5914,300 Poplar street #10,Mill Valley,CA,94941
North Spokane Hemp Co,(509) 919-3759,9323 N. Division St,Spokane,WA,99218
Northeast Kingdom Hemp,802-525-4931,2687 Willoughby Lake Road,Barton,VT,05822
Nuts 'N Berries,(404) 254-0330,4274 Peachtree Road NE,Brookhaven,GA,30319
One Love Hemp Dispensary,(502) 599-5537,1908 Bardstown Road,Louisville,KY,40205
One Minute Cannabist,760-760-2020,4747 Oceanside BlvdSuite E,Oceanside,CA,92056
OrganiCann,(707) 588-8811,301 E. Todd Road,Santa Rosa,CA,95407
Phytologie Wellness,510-454-9779,8440 Enterprise Way,Oakland,CA,94621
Rawsome CBD,(817) 382-9238,2707 Race StreetSuite 101,Fort Worth,TX,76111
Rawsome CBD,(940) 217-6702,206 Fort Worth Dr.,Denton,TX,76201
Sedona Ranch,928-399-9998,​4170 E Tomahawk Pass,Sedona,AZ,86336
Shop Poplar,(215) 275-5965,75 Poplar Street3E,Brooklyn,NY,11201
Southern Vermont Wellness,,"1222 Putney Rd, 106a",Brattleboro,VT,05301
SPARC - Haight,,473 Haight Street,San Francisco,CA,94117
SPARC - Mission,(415) 252-7727,1256 Mission Street,San Francisco,CA,94103
SPARC - Santa Rosa,707-843-3227,1061 North Dutton Ave,Santa Rosa,CA,95401
SPARC - Sebastapol,(707) 823-4206,6771 Sebastopol Ave,Sebastopol,CA,95472
Synchronicity Holistic,(831) 624-9042,26390 Carmel Rancho Ln #4,Carmel-By-The-Sea,CA,93923
Takoma Wellness Center,202-465-4260,6925 Blair Road NW,Washington,DC,20012
TeaLyn's Tea Shop,509-281-3205,121 N. Main Ave.,White Salmon,WA,98672
Texas CBD Emporium,(972) 776-7040,1511 Justin Rd.Suite 114 A,Lewisville,TX,75077
The Apothecarium (Howard),(415) 834-5225,527 Howard Street,San Francisco,CA,94105
The Apothecarium (Lombard),(415) 408-6986,2414 Lombard St,San Francisco,CA,94123
The Apothecarium (Market),(415) 500-2620,2095 Market Street,San Francisco,CA,94114
The Green Cross,(415) 648-4420,4218 Mission Street,San Francisco,CA,94112
The Green Room,707-320-1918,138 Main Street,Point Arena,CA,95468
The Healing Rose Company,(978) 409-1091,23 Hale St,Newburyport,MA,01950
The Higher Path,818-385-1224,14080 Ventura Blvd,Sherman Oaks,CA,91423
The Love Shack,(415) 552-5121,502 14th Street,San Francisco,CA,94103
The OG Collective,(760) 832-8939,36380 Bankside Dr.,Cathedral City,CA,92234
The People's Remedy,209-725-2107,1350 Lone Palm Ave,Modesto,CA,95351
The Queen of Dragons,530-276-9771,5044 Shasta Dam Boulevard,Shasta Lake,CA,96019
The Rose Collective,(310) 392-3890,421 Rose Ave,San Francisco,CA,94111
The Source CBD,(800) 223-7612,953 E. 3rd Ave,Spokane,WA,99202
THS Farm,(615) 988-4850,1842 Latimer Lane,Hendersonville,TN,37075
Thumb Coast CBD,(810) 328-4523,201 N Riverside Ave.      Suite D6,St. Clair,MI,48079
Torrey Holistic,(858) 558-1420,"10671 Roselle St, Suite #100",San Diego,CA,92121
Tribe CBD + Cannabinoids,(512) 240-9081,2700 W Anderson LnSuite 402,Austin,TX,78757
Trill Pills,(970) 736-7223,"6525 Gunpark Dr. Suite 370, PMB 193",Boulder,CO,80301
True Hemp Science,(512) 265-6162,505 W Mary St.,Austin,TX,78704
Urban Pharms,415-872-9488,122 10th Street,San Francisco,CA,94103
Urbn Leaf,(619) 275-2235,1028 Buenos Ave.,San Diego,CA,92110
US Bloom Collective,707-561-0716,1201 Springs Road,Vallejo,CA,94591
Vermont Hempicurean,(802) 246-4367,8 Flat Street,Brattleboro,VT,05301
Vermont Pure Essentials,(802) 897-5663,237 Main Street,Vergennes,VT,05491
VHHC (Vallejo Holistic Health Center),707) 652-5018,539 Tennessee St,Vallejo,CA,94590
Yipi Hipi,6788420335,232 Creekstone Ridge,Woodstock,GA,30188
Your CBD Store Columbia - Spring Hill,(931)CBD-8787,1506 Nashville Hwy,Columbia,TN,38401
Your CBD Store: Ripon,844-748-2266,301 Watson St,Ripon,WI,54971
